OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),Electricity(kBtu),NaturalGas(kBtu)
1,NonResidential,Hotel,1927,1.0,12,88434,Hotel,88434.0,not concerned,0.0,7226362.5,7456910.0,3946027.0,1276453.0
2,NonResidential,Hotel,1996,1.0,11,88502,Hotel,83880.0,Parking,15064.0,8387933.0,8664479.0,3242851.0,5145082.0
3,NonResidential,Hotel,1969,1.0,41,759392,Hotel,756493.0,not concerned,0.0,72587024.0,73937112.0,49526664.0,1493800.0
5,NonResidential,Hotel,1926,1.0,10,61320,Hotel,61320.0,not concerned,0.0,6794584.0,6946800.5,2768924.0,1811213.0
8,NonResidential,Hotel,1980,1.0,18,113580,Hotel,123445.0,Parking,68009.0,14172606.0,14656503.0,5368607.0,8803998.0
10,NonResidential,Hotel,1926,1.0,11,83008,Hotel,81352.0,not concerned,0.0,5758795.0,6062767.5,2811215.0,2947580.0
11,NonResidential,Other,1926,1.0,8,102761,Other - Entertainment/Public Assembly,102761.0,not concerned,0.0,6298131.5,7067881.5,3636655.0,385189.0
12,NonResidential,Hotel,1904,1.0,15,163984,Hotel,163984.0,not concerned,0.0,13723820.0,14194054.0,7297919.0,6425900.0
13,Multifamily MR (5-9),Mid-Rise Multifamily,1910,1.0,6,62216,Multifamily Housing,56132.0,not concerned,0.0,4573777.0,4807679.5,2532015.0,1002026.0
15,NonResidential,Hotel,1969,1.0,11,133884,Hotel,133884.0,not concerned,0.0,16016644.0,16646930.0,6187627.0,4591850.0
16,NonResidential,Hotel,1998,1.0,25,272015,Hotel,336640.0,not concerned,0.0,26941110.0,27070114.0,18083049.0,2858700.0
17,NonResidential,Hotel,1928,1.0,9,65009,Hotel,65009.0,not concerned,0.0,6596057.5,6358719.5,1343000.0,3596705.0
18,NonResidential,Hotel,1980,1.0,33,258352,Hotel,295511.0,Parking,57600.0,22325364.0,22524948.0,13904183.0,4083440.0
19,NonResidential,Hotel,1922,1.0,11,66990,Hotel,67390.0,Parking,25200.0,10750010.0,11179203.0,3832369.0,2046793.0
23,NonResidential,Hotel,1983,1.0,28,331281,Hotel,348329.0,Parking,85000.0,33556756.0,34351920.0,21225277.0,12331475.0
25,NonResidential,Hotel,1916,1.0,10,104352,Hotel,104352.0,not concerned,0.0,10154608.0,10154608.0,5908370.0,815376.0
27,NonResidential,Other,1985,1.0,19,385274,Other,385274.0,not concerned,0.0,47859812.0,49539212.0,18257661.0,29602150.0
28,SPS-District K-12,K-12 School,1961,1.0,2,56228,K-12 School,58916.0,not concerned,0.0,1539478.5,1713623.5,936955.0,602523.0
29,NonResidential,Hotel,2001,1.0,6,58006,Hotel,58006.0,Parking,30586.0,3663534.5,3673186.75,2266231.0,1397303.0
30,NonResidential,University,1928,1.0,7,126593,College/University,125000.0,not concerned,0.0,11343686.0,12183313.0,4647474.0,6696211.0
32,NonResidential,Hotel,1991,1.0,8,128375,Hotel,112676.0,Parking,42000.0,5328051.5,5424942.0,572307.0,4755745.0
33,NonResidential,Hotel,2001,1.0,10,133585,Hotel,128909.0,not concerned,0.0,11061916.0,11171407.0,5610706.0,5451210.0
